time unit: s, fft_wrapper:inst|sink_sop, fft_wrapper:inst|sink_eop, CLOCK_50, fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11..0], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[10], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[9], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[8], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[7], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[6], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[5], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[4], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[3], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[2], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[1], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[0], fft_wrapper:inst|fft:fft_inst|source_sop, fft_wrapper:inst|fft:fft_inst|source_eop, fft_wrapper:inst|real_power[17..0], fft_wrapper:inst|real_power[17], fft_wrapper:inst|real_power[16], fft_wrapper:inst|real_power[15], fft_wrapper:inst|real_power[14], fft_wrapper:inst|real_power[13], fft_wrapper:inst|real_power[12], fft_wrapper:inst|real_power[11], fft_wrapper:inst|real_power[10], fft_wrapper:inst|real_power[9], fft_wrapper:inst|real_power[8], fft_wrapper:inst|real_power[7], fft_wrapper:inst|real_power[6], fft_wrapper:inst|real_power[5], fft_wrapper:inst|real_power[4], fft_wrapper:inst|real_power[3], fft_wrapper:inst|real_power[2], fft_wrapper:inst|real_power[1], fft_wrapper:inst|real_power[0], fft_wrapper:inst|imag_power[17..0],, fft_wrapper:inst|imag_power[16], fft_wrapper:inst|imag_power[15], fft_wrapper:inst|imag_power[14], fft_wrapper:inst|imag_power[13], fft_wrapper:inst|imag_power[12], fft_wrapper:inst|imag_power[11], fft_wrapper:inst|imag_power[10], fft_wrapper:inst|imag_power[9], fft_wrapper:inst|imag_power[8], fft_wrapper:inst|imag_power[7], fft_wrapper:inst|imag_power[6], fft_wrapper:inst|imag_power[5], fft_wrapper:inst|imag_power[4], fft_wrapper:inst|imag_power[3], fft_wrapper:inst|imag_power[2], fft_wrapper:inst|imag_power[1], fft_wrapper:inst|imag_power[0], 
0, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X," X,", X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
553,0,0,1,11111010000,0,1,1,1,1,1,0,1,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,19,"19,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1, 
554,0,0,1,11111001111,0,1,1,1,1,1,0,0,1,1,1,1,0,0,-23,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,122,"122,",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0, 
555,0,0,1,11111001111,0,1,1,1,1,1,0,0,1,1,1,1,0,0,-147,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,64,"64,",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, 
556,0,0,1,11111001111,0,1,1,1,1,1,0,0,1,1,1,1,0,0,-37,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,-142,"-142,",1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0, 
557,0,0,1,11111001110,0,1,1,1,1,1,0,0,1,1,1,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,-113,"-113,",1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1, 
558,0,0,1,11111001110,0,1,1,1,1,1,0,0,1,1,1,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,162,"162,",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0, 
559,0,0,1,11111001101,0,1,1,1,1,1,0,0,1,1,0,1,0,0,-100,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,147,"147,",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1, 
560,0,0,1,11111001100,0,1,1,1,1,1,0,0,1,1,0,0,0,0,-181,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,-152,"-152,",1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0, 
561,0,0,1,11111001011,0,1,1,1,1,1,0,0,1,0,1,1,0,0,96,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-154,"-154,",1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0, 
562,0,0,1,11111001001,0,1,1,1,1,1,0,0,1,0,0,1,0,0,204,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,104,"104,",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0, 
563,0,0,1,11111001000,0,1,1,1,1,1,0,0,1,0,0,0,0,0,-93,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,138,"138,",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0, 
564,0,0,1,11111000110,0,1,1,1,1,1,0,0,0,1,1,0,0,0,-180,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,-32,"-32,",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0, 
565,0,0,1,11111000101,0,1,1,1,1,1,0,0,0,1,0,1,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,-166,"-166,",1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0, 
566,0,0,1,11111000011,0,1,1,1,1,1,0,0,0,0,1,1,0,0,135,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,-36,"-36,",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0, 
567,0,0,1,11111000001,0,1,1,1,1,1,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,163,"163,",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1, 
568,0,0,1,11110111111,0,1,1,1,1,0,1,1,1,1,1,1,0,0,-101,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,86,"86,",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0, 
569,0,0,1,11110111100,0,1,1,1,1,0,1,1,1,1,0,0,0,0,-123,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,-162,"-162,",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0, 
570,0,0,1,11110111010,0,1,1,1,1,0,1,1,1,0,1,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,-115,"-115,",1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1, 
571,0,0,1,11110110111,0,1,1,1,1,0,1,1,0,1,1,1,0,0,189,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,135,"135,",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1, 
572,0,0,1,11110110100,0,1,1,1,1,0,1,1,0,1,0,0,0,0,-120,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,138,"138,",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0, 
573,0,0,1,11110110010,0,1,1,1,1,0,1,1,0,0,1,0,0,0,-198,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,-86,"-86,",1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0, 
574,0,0,1,11110101110,0,1,1,1,1,0,1,0,1,1,1,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,-159,"-159,",1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1, 
575,0,0,1,11110101011,0,1,1,1,1,0,1,0,1,0,1,1,0,0,169,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,43,"43,",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1, 
576,0,0,1,11110101000,0,1,1,1,1,0,1,0,1,0,0,0,0,0,-77,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,177,"177,",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1, 
577,0,0,1,11110100100,0,1,1,1,1,0,1,0,0,1,0,0,0,0,-131,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,3,"3,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1, 
578,0,0,1,11110100001,0,1,1,1,1,0,1,0,0,0,0,1,0,0,-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,-175,"-175,",1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1, 
579,0,0,1,11110011101,0,1,1,1,1,0,0,1,1,1,0,1,0,0,109,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,-42,"-42,",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0, 
580,0,0,1,11110011001,0,1,1,1,1,0,0,1,1,0,0,1,0,0,111,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,152,"152,",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0, 
581,0,0,1,11110010101,0,1,1,1,1,0,0,1,0,1,0,1,0,0,-132,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,71,"71,",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1, 
582,0,0,1,11110010001,0,1,1,1,1,0,0,1,0,0,0,1,0,0,-172,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,-115,"-115,",1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1, 
583,0,0,1,11110001100,0,1,1,1,1,0,0,0,1,1,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,-139,"-139,",1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1, 
584,0,0,1,11110001000,0,1,1,1,1,0,0,0,1,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,81,"81,",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1, 
585,0,0,1,11110000011,0,1,1,1,1,0,0,0,0,0,1,1,0,0,-137,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,170,"170,",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0, 
586,0,0,1,11101111111,0,1,1,1,0,1,1,1,1,1,1,1,0,0,-159,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,-60,"-60,",1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0, 
587,0,0,1,11101111010,0,1,1,1,0,1,1,1,1,0,1,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,-202,"-202,",1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0, 
588,0,0,1,11101110101,0,1,1,1,0,1,1,1,0,1,0,1,0,0,133,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,40,"40,",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0, 
589,0,0,1,11101101111,0,1,1,1,0,1,1,0,1,1,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,185,"185,",0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1, 
590,0,0,1,11101101010,0,1,1,1,0,1,1,0,1,0,1,0,0,0,-123,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,-2,"-2,",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0, 
591,0,0,1,11101100101,0,1,1,1,0,1,1,0,0,1,0,1,0,0,-92,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,-138,"-138,",1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0, 
592,0,0,1,11101011111,0,1,1,1,0,1,0,1,1,1,1,1,0,0,139,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,-63,"-63,",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1, 
593,0,0,1,11101011001,0,1,1,1,0,1,0,1,1,0,0,1,0,0,132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,97,"97,",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1, 
594,0,0,1,11101010100,0,1,1,1,0,1,0,1,0,1,0,0,0,0,-147,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,141,"141,",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1, 
595,0,0,1,11101001110,0,1,1,1,0,1,0,0,1,1,1,0,0,0,-157,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,-82,"-82,",1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0, 
596,0,0,1,11101000111,0,1,1,1,0,1,0,0,0,1,1,1,0,0,129,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-201,"-201,",1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1, 
597,0,0,1,11101000001,0,1,1,1,0,1,0,0,0,0,0,1,0,0,155,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,76,"76,",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0, 
598,0,0,1,11100111011,0,1,1,1,0,0,1,1,1,0,1,1,0,0,-74,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,212,"212,",0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0, 
599,0,0,1,11100110100,0,1,1,1,0,0,1,1,0,1,0,0,0,0,-149,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,-75,"-75,",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1, 
600,0,0,1,11100101110,0,1,1,1,0,0,1,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-179,"-179,",1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1, 
601,0,0,1,11100100111,0,1,1,1,0,0,1,0,0,1,1,1,0,0,147,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,30,"30,",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0, 
602,0,0,1,11100100000,0,1,1,1,0,0,1,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,125,"125,",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1, 
603,0,0,1,11100011001,0,1,1,1,0,0,0,1,1,0,0,1,0,0,-155,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,49,"49,",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1, 
604,0,0,1,11100010010,0,1,1,1,0,0,0,1,0,0,1,0,0,0,-103,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,-90,"-90,",1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0, 
605,0,0,1,11100001011,0,1,1,1,0,0,0,0,1,0,1,1,0,0,164,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,-120,"-120,",1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0, 
606,0,0,1,11100000011,0,1,1,1,0,0,0,0,0,0,1,1,0,0,132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,90,"90,",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0, 
607,0,0,1,11011111100,0,1,1,0,1,1,1,1,1,1,0,0,0,0,-113,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,205,"205,",0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1, 
608,0,0,1,11011110100,0,1,1,0,1,1,1,1,0,1,0,0,0,0,-153,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,-105,"-105,",1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1, 
609,0,0,1,11011101101,0,1,1,0,1,1,1,0,1,1,0,1,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,-211,"-211,",1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1, 
610,0,0,1,11011100101,0,1,1,0,1,1,1,0,0,1,0,1,0,0,173,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,100,"100,",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0, 
611,0,0,1,11011011101,0,1,1,0,1,1,0,1,1,1,0,1,0,0,-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,169,"169,",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1, 
612,0,0,1,11011010101,0,1,1,0,1,1,0,1,0,1,0,1,0,0,-180,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,-49,"-49,",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1, 
613,0,0,1,11011001100,0,1,1,0,1,1,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-98,"-98,",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0, 
614,0,0,1,11011000100,0,1,1,0,1,1,0,0,0,1,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,-42,"-42,",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0, 
615,0,0,1,11010111100,0,1,1,0,1,0,1,1,1,1,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,99,"99,",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1, 
616,0,0,1,11010110011,0,1,1,0,1,0,1,1,0,0,1,1,0,0,-133,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,136,"136,",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0, 
617,0,0,1,11010101011,0,1,1,0,1,0,1,0,1,0,1,1,0,0,-89,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,-95,"-95,",1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1, 
618,0,0,1,11010100010,0,1,1,0,1,0,1,0,0,0,1,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,-192,"-192,",1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0, 
619,0,0,1,11010011001,0,1,1,0,1,0,0,1,1,0,0,1,0,0,160,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,121,"121,",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1, 
620,0,0,1,11010010000,0,1,1,0,1,0,0,1,0,0,0,0,0,0,-57,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,194,"194,",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0, 
621,0,0,1,11010000111,0,1,1,0,1,0,0,0,0,1,1,1,0,0,-183,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,-85,"-85,",1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1, 
622,0,0,1,11001111110,0,1,1,0,0,1,1,1,1,1,1,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,-163,"-163,",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1, 
623,0,0,1,11001110101,0,1,1,0,0,1,1,1,0,1,0,1,0,0,206,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,50,"50,",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0, 
624,0,0,1,11001101011,0,1,1,0,0,1,1,0,1,0,1,1,0,0,-18,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,132,"132,",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0, 
625,0,0,1,11001100010,0,1,1,0,0,1,1,0,0,0,1,0,0,0,-174,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,32,"32,",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0, 
626,0,0,1,11001011000,0,1,1,0,0,1,0,1,1,0,0,0,0,0,-19,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,-121,"-121,",1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1, 
627,0,0,1,11001001111,0,1,1,0,0,1,0,0,1,1,1,1,0,0,124,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,-117,"-117,",1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1, 
628,0,0,1,11001000101,0,1,1,0,0,1,0,0,0,1,0,1,0,0,88,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,130,"130,",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0, 
629,0,0,1,11000111011,0,1,1,0,0,0,1,1,1,0,1,1,0,0,-86,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,150,"150,",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0, 
630,0,0,1,11000110001,0,1,1,0,0,0,1,1,0,0,0,1,0,0,-164,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,-131,"-131,",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1, 
631,0,0,1,11000100111,0,1,1,0,0,0,1,0,0,1,1,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,-169,"-169,",1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1, 
632,0,0,1,11000011101,0,1,1,0,0,0,0,1,1,1,0,1,0,0,219,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,100,"100,",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0, 
633,0,0,1,11000010011,0,1,1,0,0,0,0,1,0,0,1,1,0,0,-69,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,169,"169,",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1, 
634,0,0,1,11000001001,0,1,1,0,0,0,0,0,1,0,0,1,0,0,-216,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,-44,"-44,",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0, 
635,0,0,1,10111111110,0,1,0,1,1,1,1,1,1,1,1,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,-155,"-155,",1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1, 
636,0,0,1,10111110100,0,1,0,1,1,1,1,1,0,1,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,-25,"-25,",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1, 
637,0,0,1,10111101010,0,1,0,1,1,1,1,0,1,0,1,0,0,0,-29,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,133,"133,",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1, 
638,0,0,1,10111011111,0,1,0,1,1,1,0,1,1,1,1,1,0,0,-111,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,81,"81,",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1, 
639,0,0,1,10111010100,0,1,0,1,1,1,0,1,0,1,0,0,0,0,-78,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,-148,"-148,",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0, 
640,0,0,1,10111001010,0,1,0,1,1,1,0,0,1,0,1,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,-121,"-121,",1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1, 
641,0,0,1,10110111111,0,1,0,1,1,0,1,1,1,1,1,1,0,0,122,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,101,"101,",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1, 
642,0,0,1,10110110100,0,1,0,1,1,0,1,1,0,1,0,0,0,0,-74,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,143,"143,",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1, 
643,0,0,1,10110101001,0,1,0,1,1,0,1,0,1,0,0,1,0,0,-217,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,-87,"-87,",1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1, 
644,0,0,1,10110011110,0,1,0,1,1,0,0,1,1,1,1,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,-167,"-167,",1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1, 
645,0,0,1,10110010011,0,1,0,1,1,0,0,1,0,0,1,1,0,0,213,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,23,"23,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1, 
646,0,0,1,10110001000,0,1,0,1,1,0,0,0,1,0,0,0,0,0,-77,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,181,"181,",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1, 
647,0,0,1,10101111101,0,1,0,1,0,1,1,1,1,1,0,1,0,0,-166,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,8,"8,",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, 
648,0,0,1,10101110001,0,1,0,1,0,1,1,1,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-185,"-185,",1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1, 
649,0,0,1,10101100110,0,1,0,1,0,1,1,0,0,1,1,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,-40,"-40,",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0, 
650,0,0,1,10101011011,0,1,0,1,0,1,0,1,1,0,1,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,159,"159,",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1, 
651,0,0,1,10101001111,0,1,0,1,0,1,0,0,1,1,1,1,0,0,-87,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,75,"75,",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1, 
652,0,0,1,10101000100,0,1,0,1,0,1,0,0,0,1,0,0,0,0,-157,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,-114,"-114,",1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0, 
653,0,0,1,10100111000,0,1,0,1,0,0,1,1,1,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-139,"-139,",1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1, 
654,0,0,1,10100101101,0,1,0,1,0,0,1,0,1,1,0,1,0,0,205,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,66,"66,",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0, 
655,0,0,1,10100100001,0,1,0,1,0,0,1,0,0,0,0,1,0,0,-105,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,176,"176,",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0, 
