time unit: s, fft_wrapper:inst|sink_sop, fft_wrapper:inst|sink_eop, CLOCK_50, fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11..0], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[10], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[9], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[8], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[7], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[6], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[5], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[4], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[3], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[2], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[1], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[0], fft_wrapper:inst|fft:fft_inst|source_sop, fft_wrapper:inst|fft:fft_inst|source_eop, fft_wrapper:inst|real_power[17..0], fft_wrapper:inst|real_power[17], fft_wrapper:inst|real_power[16], fft_wrapper:inst|real_power[15], fft_wrapper:inst|real_power[14], fft_wrapper:inst|real_power[13], fft_wrapper:inst|real_power[12], fft_wrapper:inst|real_power[11], fft_wrapper:inst|real_power[10], fft_wrapper:inst|real_power[9], fft_wrapper:inst|real_power[8], fft_wrapper:inst|real_power[7], fft_wrapper:inst|real_power[6], fft_wrapper:inst|real_power[5], fft_wrapper:inst|real_power[4], fft_wrapper:inst|real_power[3], fft_wrapper:inst|real_power[2], fft_wrapper:inst|real_power[1], fft_wrapper:inst|real_power[0], fft_wrapper:inst|imag_power[17..0], fft_wrapper:inst|imag_power[17], fft_wrapper:inst|imag_power[16], fft_wrapper:inst|imag_power[15], fft_wrapper:inst|imag_power[14], fft_wrapper:inst|imag_power[13], fft_wrapper:inst|imag_power[12], fft_wrapper:inst|imag_power[11], fft_wrapper:inst|imag_power[10], fft_wrapper:inst|imag_power[9], fft_wrapper:inst|imag_power[8], fft_wrapper:inst|imag_power[7], fft_wrapper:inst|imag_power[6], fft_wrapper:inst|imag_power[5], fft_wrapper:inst|imag_power[4], fft_wrapper:inst|imag_power[3], fft_wrapper:inst|imag_power[2], fft_wrapper:inst|imag_power[1], fft_wrapper:inst|imag_power[0], 
0, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
283, 0, 0, 1, 011101100101, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, -94, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 
284, 0, 0, 1, 011101101010, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, -184, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, -102, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 
285, 0, 0, 1, 011101101111, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, -131, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 
286, 0, 0, 1, 011101110101, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 
287, 0, 0, 1, 011101111010, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, -19, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 
288, 0, 0, 1, 011101111111, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, -143, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 
289, 0, 0, 1, 011110000011, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, -49, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, -195, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 
290, 0, 0, 1, 011110001000, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, -125, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 
291, 0, 0, 1, 011110001100, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 
292, 0, 0, 1, 011110010001, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, -115, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 
293, 0, 0, 1, 011110010101, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, -183, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, -136, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 
294, 0, 0, 1, 011110011001, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, -128, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 
295, 0, 0, 1, 011110011101, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 
296, 0, 0, 1, 011110100001, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, -106, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 
297, 0, 0, 1, 011110100100, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, -166, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, -17, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 
298, 0, 0, 1, 011110101000, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, -150, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 
299, 0, 0, 1, 011110101011, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, -43, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 
300, 0, 0, 1, 011110101110, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 
301, 0, 0, 1, 011110110010, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, -108, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 
302, 0, 0, 1, 011110110100, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, -131, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, -170, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 
303, 0, 0, 1, 011110110111, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, -110, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 
304, 0, 0, 1, 011110111010, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
305, 0, 0, 1, 011110111100, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, -133, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 
306, 0, 0, 1, 011110111111, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, -186, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, -94, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 
307, 0, 0, 1, 011111000001, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, -156, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 
308, 0, 0, 1, 011111000011, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 
309, 0, 0, 1, 011111000101, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, -66, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 
310, 0, 0, 1, 011111000110, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, -116, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
311, 0, 0, 1, 011111001000, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, -30, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, -174, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 
312, 0, 0, 1, 011111001001, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, -42, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 
313, 0, 0, 1, 011111001011, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 
314, 0, 0, 1, 011111001100, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, -140, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 
315, 0, 0, 1, 011111001101, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, -174, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, -119, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 
316, 0, 0, 1, 011111001110, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, -142, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 
317, 0, 0, 1, 011111001110, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 
318, 0, 0, 1, 011111001111, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, -142, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 
319, 0, 0, 1, 011111001111, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, -139, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, -72, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 
320, 0, 0, 1, 011111001111, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, -192, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 
321, 0, 0, 1, 011111010000, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 
322, 0, 0, 1, 011111001111, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 
323, 0, 0, 1, 011111001111, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, -135, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
324, 0, 0, 1, 011111001111, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, -101, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, -130, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 
325, 0, 0, 1, 011111001110, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, -87, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 
326, 0, 0, 1, 011111001110, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 
327, 0, 0, 1, 011111001101, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, -162, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 
328, 0, 0, 1, 011111001100, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, -149, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, -98, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 
329, 0, 0, 1, 011111001011, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, -196, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 
330, 0, 0, 1, 011111001001, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 
331, 0, 0, 1, 011111001000, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, -73, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 
332, 0, 0, 1, 011111000110, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, -144, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, -84, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 
333, 0, 0, 1, 011111000101, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, -142, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 
334, 0, 0, 1, 011111000011, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 
335, 0, 0, 1, 011111000001, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 
336, 0, 0, 1, 011110111111, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, -165, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 
337, 0, 0, 1, 011110111100, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, -95, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, -80, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 
338, 0, 0, 1, 011110111010, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, -157, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 
339, 0, 0, 1, 011110110111, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 
340, 0, 0, 1, 011110110100, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, -116, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 
341, 0, 0, 1, 011110110010, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, -144, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, -138, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 
342, 0, 0, 1, 011110101110, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, -191, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 
343, 0, 0, 1, 011110101011, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 
344, 0, 0, 1, 011110101000, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, -21, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 
345, 0, 0, 1, 011110100100, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, -167, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, -15, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 
346, 0, 0, 1, 011110100001, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, -21, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, -111, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 
347, 0, 0, 1, 011110011101, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, -60, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 
348, 0, 0, 1, 011110011001, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 
349, 0, 0, 1, 011110010101, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, -128, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 
350, 0, 0, 1, 011110010001, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, -112, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, -131, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 
351, 0, 0, 1, 011110001100, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, -187, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 
352, 0, 0, 1, 011110001000, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 
353, 0, 0, 1, 011110000011, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, -77, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 
354, 0, 0, 1, 011101111111, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, -197, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, -114, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 
